,input,output,expected
0,@kumbh rashi men janme log sambhavnaon se bhari ek jagah ke roop men duniya ko dekhte hain#,कुंभ# राशि# में# जन्मे# लोग# संभवनाओंव# से# भारी# एक# जगह# के# रूप# में# दुनिया# को# देखते# हैं# ,@कुंभ राशि में जन्मे लोग संभावनाओं से भरी एक जगह के रूप में दुनिया को देखते हैं#
1,@iska ulat bhi satya hai#,इसका# उलत# भी# सत्य# है# ,@इसका उलट भी सत्य है#
2,@kuch devta jo mukhyatah nagar devta the apne sampradayvalon ke chalte gun aur karya mein vishisht samjhe gaye aur unki mahatta sarvopati samjhi gayi#,कुछ# देवता# जो# मुख्यतः# नगर# देवता# दे# अपने# संप्रदायवालों# के# चलते# गुण# और# कार्य# में# विशिष्ट# समझें# गाए# और# उनकी# महत्ता# सर्वोपरिति# समझी# गायी# ,@कुछ देवता जो मुख्यत नगर देवता थे अपने संप्रदायवालों के चलते गुण और कार्य में विशिष्ट समझे गए और उनकी महत्ता सर्वोपरि समझी गई#
3,@tel ke utpadan men sansar men romania ka chhath sthan hai#,तेल# के# उत्पादन# में# संसार# में# रोमानिया# का# छठ# स्थान# है# ,@तेल के उत्पादन में संसार में रोमानिया का छठा स्थान है#
4,@banarasi lal se milkar police ne sara bhed praapt kar liya#,बनारसी# लाल# से# मिलकर# पुलिस# ने# सारा# भेद# प्राप्त# कर# लिया# ,@बनारसी लाल से मिलकर पुलिस ने सारा भेद प्राप्त कर लिया#
5,@anya prakar ki ghatanaon ke prati beema ke samaan hi bachav nidhi dwara anya niveshak ko mudra nivesh ke liye bhugtan karana padta hai#,अन्य# प्रकार# की# घटनाओं# के# प्रति# बीमा# के# समान# ही# बचाव# निधि# द्वारा# अन्य# निवेशक# को# मुद्रा# निवेश# के# लिए# भूगतान# करना# पद्ता# है# ,@अन्य प्रकार की घटनाओं के प्रति बीमा के समान ही बचाव निधि द्वारा अन्य निवेशक को मुद्रा निवेश के लिए भुगतान करना पड़ता है#
6,@pandit shivkumar sharma#,पंडित# शिवकुमार# शर्मा# ,@पंडित शिवकुमार शर्मा#
7,@unhe ek samuh ya ek samuday achha lagta hai to ve lagatar dusre login se ghire rahane ka prayas karte hain#,उन्हें# एक# समूह# या# एक# समुदाय# अच्या# लगता# है# तो# वे# लगातार# दूसरे# लोगीन# से# घिरे# राहने# का# प्रयास# करते# हैं# ,@उन्हें एक समूह या एक समुदाय अच्छा लगता है तो वे लगातार दूसरे लोगों से घिरे रहने का प्रयास करते हैं#
8,@beebeesee hindi sanwaddaata dwara venkatraman ramkrishnan ka saakshatkar#,बीबीस# हिन्दी# संवाद्दा# द्वारा# वेंकटरामन# रमकृष्णन# का# सक्षातकार# ,@बीबीसी हिन्दी संवाददाता द्वारा वेंकटरामन रामकृष्णन का साक्षात्कार#
9,@haan khoj kaa silsilaa na ruke#,हाँ# खोज# का# सिलसिला# न# रके# ,@हाँ खोज का सिलसिला न रुके#
