,input,output,expected
0,@कुंभ राशि में जन्मे लोग संभावनाओं से भरी एक जगह के रूप में दुनिया को देखते हैं#,kumbh# rashi# men# janmen# loga# manbhavanaon se# bhari# ek# jagah# ken# upur men# dunia# ko# dekhati hain# ,@kumbh rashi men janme log sambhavnaon se bhari ek jagah ke roop men duniya ko dekhte hain#
1,@इसका उलट भी सत्य है#,iskaa# ulta# bhi# satya# ha# ,@iska ulat bhi satya hai#
2,@कुछ देवता जो मुख्यत नगर देवता थे अपने संप्रदायवालों के चलते गुण और कार्य में विशिष्ट समझे गए और उनकी महत्ता सर्वोपरि समझी गई#,kuch# devata jo# mushaakt# nagar# devata the# apne# sanvalayogapal# ken# chale# gun# aur# carya# men# vishisht# shamje# ge# aur# unki# mahatta# sarvatari# shami# geen# ,@kuch devta jo mukhyatah nagar devta the apne sampradayvalon ke chalte gun aur karya mein vishisht samjhe gaye aur unki mahatta sarvopati samjhi gayi#
3,@तेल के उत्पादन में संसार में रोमानिया का छठा स्थान है#,tel# ken# uptapan# men# sansar# men# romania ka# shataar shtana# ha# ,@tel ke utpadan men sansar men romania ka chhath sthan hai#
4,@बनारसी लाल से मिलकर पुलिस ने सारा भेद प्राप्त कर लिया#,banasari# lal# se# milakar# pusili# ne# sara# bhed# prapt# kar# liza# ,@banarasi lal se milkar police ne sara bhed praapt kar liya#
5,@अन्य प्रकार की घटनाओं के प्रति बीमा के समान ही बचाव निधि द्वारा अन्य निवेशक को मुद्रा निवेश के लिए भुगतान करना पड़ता है#,anya# prakar# ki# ghanganaon ken# prati# bima# ken# saman# hi# bachaw# nidhi# dwara anya# niveshash# ko# mudra nivesh# ken# lee# bhugtan# karana# padata# ha# ,@anya prakar ki ghatanaon ke prati beema ke samaan hi bachav nidhi dwara anya niveshak ko mudra nivesh ke liye bhugtan karana padta hai#
6,@पंडित शिवकुमार शर्मा#,pandit# shivraksawar sharma# ,@pandit shivkumar sharma#
7,@उन्हें एक समूह या एक समुदाय अच्छा लगता है तो वे लगातार दूसरे लोगों से घिरे रहने का प्रयास करते हैं#,unhen# ek# samuh# ya# ek# samuday# accha# lagta# ha# to# ve# lagtarah# dusera# logon# se# ghegher# rahne# ka# pyrasana katare# hain# ,@unhe ek samuh ya ek samuday achha lagta hai to ve lagatar dusre login se ghire rahane ka prayas karte hain#
8,@बीबीसी हिन्दी संवाददाता द्वारा वेंकटरामन रामकृष्णन का साक्षात्कार#,bbasiri hindi# sanvadadata dwara ventamakarana# rakarashnin ka# sakshatkar# ,@beebeesee hindi sanwaddaata dwara venkatraman ramkrishnan ka saakshatkar#
9,@हाँ खोज का सिलसिला न रुके#,han# choja# ka# silisila na# rucke# ,@haan khoj kaa silsilaa na ruke#
10,@हर्षाली मल्होत्रा बाल फ़िल्म अभिनेत्री#,harshali# maltarar bala# film# abhinetri# ,@harshali malhotra bal film abhinetri#
11,@यह एक धधकने वाला तारा है जिसमें अचानक कुछ मिनटों के लिए चमक बढ़ जाती है#,yah# ek# dhadhanein vala# tara# ha# jeensme# achnak# kuch# minto# ken# lee# chamak# badh# jati# ha# ,@yah ek dhadhakne vala tara hai jismen achanak kuch minaton ke liye chamak badh jaati hai#
12,@भारत की राष्ट्रीय क्रिकेट टीम ने  के मौसम में ऑस्ट्रेलिया का दौरा किया और  टेस्ट मैच खेले#,bharat# ki# rashityari# cricket teem# ne# ken# mausam# men# hostamariya# ka# dauraa# kiya# aur# teject# macce# khele# ,@bharat ki rashtriy cricket team ne  ke mausam men australia ka daura kiya aur  test match khelen#
13,@संसाधनों और अन्य व्यावहारिक मुद्दों के कारण पुरातत्वविद अपनी इच्छानुसार जब चाहें व जहां चाहें उत्खनन नहीं कर पाते#,sansadhanon# aur# anya# vyavaraahik# muddon# ken# karan# puratavaditwa# apni# ichandakshar jab# chahen# va jahaan# chahen# utkanan# nahin# kar# patai# ,@sansadhanon aur anya vyaavhaarik muddon ke karan puratatvavid apni ichchhaanusaar jab chahen v jahan chahen utkhanan nahin kar paate#
